Rank,player_name,nation,position,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,goal_xg_ratio
37,Vladimir Coufal,CZE,DF,1,0,1,0.0,1,0,1,0.02,0x,9,0.0
37,Tim Payne,NZL,DF,1,0,1,0.0,0,1,0,0.02,0x,3,0.0
37,Orkun Kokcu,TUR,MF,1,0,3,0.0,2,1,0,0.56,0x,2,0.0
37,Ricardo Rodriguez,SUI,DF,1,0,1,0.0,0,1,0,0.02,0x,4,0.0
37,Lucas Bergvall,SWE,MF,1,0,2,0.0,2,0,1,0.68,0x,0,0.0
37,Ivan Basic,BIH,MF,1,0,4,0.0,0,4,0,0.15,0x,5,0.0
37,Aymeric Laporte,ESP,DF,1,2,5,0.0,3,2,3,0.36,0x,0,0.0
37,Alex Baena,ESP,MF,1,5,12,8.0,4,8,0,0.5,2x,28,2.0
37,Akmal Mozgovoy,UZB,MF,1,0,1,0.0,1,0,0,0.08,0x,0,0.0
37,Mikel Oyarzabal,ESP,FW,1,12,23,22.0,16,7,5,4.33,1.14x,0,1.14
