Rank,player_name,nation,position,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners
37,Karim Hafez,EGY,DF,1,0,1,0.0,0,1,0,0.01,0x,0
37,Yan Diomande,CIV,FW,1,0,4,0.0,3,1,1,0.26,0x,11
37,Tshepang Moremi,RSA,FW,1,0,0,0.0,0,0,0,0.0,0x,0
37,Trezeguet,EGY,FW,1,3,8,13.0,6,2,3,0.71,1.4x,0
37,Pape Gueye,SEN,MF,1,3,8,25.0,1,7,0,0.37,5.4x,0
37,Marawan Attia,EGY,MF,1,1,4,0.0,1,3,0,0.05,0x,0
37,Yannick Semedo,CPV,MF,1,0,1,0.0,0,1,0,0.01,0x,2
37,Brandon Thomas Asante,GHA,FW,1,0,0,0.0,0,0,0,0.0,0x,0
37,Ibrahim Sangare,CIV,MF,1,0,1,0.0,0,1,0,0.0,0x,0
37,Hwang Inbeom,KOR,MF,1,2,4,25.0,2,2,0,0.37,2.74x,0
37,Riyad Mahrez,ALG,FW,1,3,6,33.0,4,2,0,1.49,1.34x,5
37,Takefusa Kubo,JPN,MF,1,0,1,0.0,0,1,0,0.01,0x,0
37,Amir Alammari,IRQ,MF,1,0,0,0.0,0,0,0,0.0,0x,3
37,Ryan Mendes,CPV,FW,1,0,6,0.0,3,3,0,0.07,0x,0
37,Ayase Ueda,JPN,FW,1,4,9,22.0,5,4,2,0.63,3.15x,0
37,Ritsu Doan,JPN,MF,1,0,1,0.0,0,1,0,0.02,0x,1
37,Arthur Masuaku,COD,DF,1,0,0,0.0,0,0,0,0.0,0x,6
37,Noor Alrawabdeh,JOR,MF,1,0,1,0.0,0,1,0,0.03,0x,0
37,Kou Itakura,JPN,DF,1,0,0,0.0,0,0,0,0.0,0x,0
37,Ramin Rezaeian,IRN,DF,1,2,4,50.0,4,0,0,0.97,2.06x,7
37,Ehsan Haddad,JOR,DF,1,0,1,0.0,1,0,0,0.03,0x,0
37,Kaishu Sano,JPN,MF,1,1,1,100.0,0,1,0,0.09,11.52x,0
37,Lee Kangin,KOR,MF,1,1,4,0.0,1,3,0,0.15,0x,9
37,Chancel Mbemba,COD,DF,1,0,1,0.0,1,0,0,0.05,0x,0
37,Keito Nakamura,JPN,MF,1,2,5,20.0,2,3,0,0.17,5.98x,0
37,Koki Ogawa,JPN,FW,1,0,3,0.0,3,0,2,0.22,0x,0
37,Edmilson Junior,QAT,FW,1,2,3,0.0,3,0,0,0.43,0x,0
37,Mousa Altamari,JOR,FW,1,3,8,13.0,4,4,0,1.13,0.89x,0
37,Meschack Elia,COD,FW,1,2,2,0.0,0,2,0,0.05,0x,0
37,Ferran Torres,ESP,FW,1,4,14,7.0,13,1,5,2.72,0.37x,0
37,Alexandr Sojka,CZE,MF,1,0,0,0.0,0,0,0,0.0,0x,1
37,Baris Alper Yilmaz,TUR,FW,1,0,1,100.0,0,1,0,0.06,16.87x,0
37,Ruben Vargas,SUI,FW,1,4,6,33.0,4,2,0,1.31,1.53x,11
37,Dennis Hadzikadunic,BIH,DF,1,0,0,0.0,0,0,0,0.0,0x,0
37,Vladimir Coufal,CZE,DF,1,0,1,0.0,1,0,1,0.02,0x,9
37,Tim Payne,NZL,DF,1,0,1,0.0,0,1,0,0.02,0x,3
37,Orkun Kokcu,TUR,MF,1,0,3,0.0,2,1,0,0.56,0x,2
37,Ricardo Rodriguez,SUI,DF,1,0,1,0.0,0,1,0,0.02,0x,4
37,Lucas Bergvall,SWE,MF,1,0,2,0.0,2,0,1,0.68,0x,0
37,Ivan Basic,BIH,MF,1,0,4,0.0,0,4,0,0.15,0x,5
37,Paul Okon Engstler,AUS,MF,1,0,0,0.0,0,0,0,0.0,0x,1
37,Aymeric Laporte,ESP,DF,1,2,5,0.0,3,2,3,0.36,0x,0
37,Alex Baena,ESP,MF,1,5,12,8.0,4,8,0,0.5,2x,28
37,Sead Kolasinac,BIH,DF,1,0,0,0.0,0,0,0,0.0,0x,0
37,Akmal Mozgovoy,UZB,MF,1,0,1,0.0,1,0,0,0.08,0x,0
37,Marcos Llorente,ESP,DF,1,0,0,0.0,0,0,0,0.0,0x,0
37,Mikel Oyarzabal,ESP,FW,1,12,23,22.0,16,7,5,4.33,1.14x,0
